Index-Nr;Modell-Nr;Aktf.;Bias;Lernrate;Mini Batch;Trainingszeit (s);Train-Cost;Val.-Cost;Test-Cost;Train-Quote;Val.-Quote;Test-Quote
196;4;$\sigma$;True;0.1;128;6.0;0.0903;0.0903;0.0902;0.1056;0.1105;0.1033
197;4;tanh;False;0.1;128;6.0;0.0626;0.0617;0.0623;0.6316;0.6499;0.6333
198;4;tanh;True;0.1;128;6.0;0.0653;0.0646;0.0651;0.5939;0.6032;0.5973
199;4;relu;False;0.01;8;27.9;0.0497;0.0485;49;0.6637;0.6734;0.6725
200;4;relu;True;0.01;8;28.6;0.0681;0.0673;0.0679;0.4988;0.5092;0.4935
201;4;$\sigma$;False;0.01;8;27.9;0.09;0.09;0.09;0.1795;0.1813;0.1737
202;4;$\sigma$;True;0.01;8;28.9;0.0902;0.0903;0.0902;0.1139;0.1069;0.1137
203;4;tanh;False;0.01;8;28.3;0.0536;0.0526;0.0533;0.6611;0.6755;666
204;4;tanh;True;0.01;8;28.9;0.0584;0.0573;0.0577;0.6119;0.6294;623
205;4;relu;False;0.01;32;10.7;0.0875;0.0874;0.0875;0.2039;0.2089;0.2049
206;4;relu;True;0.01;32;10.8;0.0863;0.0862;0.0862;118;0.1186;116
207;4;$\sigma$;False;0.01;32;10.7;91;91;0.0911;0.1035;109;0.1028
208;4;$\sigma$;True;0.01;32;10.8;0.0924;0.0924;0.0923;0.0994;99;0.1032
209;4;tanh;False;0.01;32;10.8;0.0805;0.0802;0.0802;0.5232;536;0.5294
210;4;tanh;True;0.01;32;11.1;0.0819;0.0817;0.0817;0.4568;0.4764;0.4634
211;4;relu;False;0.01;128;6.2;0.0892;0.0891;0.0891;129;0.1296;0.1296
212;4;relu;True;0.01;128;6.4;0.0892;0.0892;0.0892;0.1497;0.1416;0.1506
213;4;$\sigma$;False;0.01;128;6.2;0.0918;0.0918;0.0918;0.0986;0.0991;98
214;4;$\sigma$;True;0.01;128;6.6;0.0905;0.0906;0.0906;0.0649;0.0641;0.0676
215;4;tanh;False;0.01;128;6.2;0.0892;89;0.0892;0.1696;0.1755;0.1788
216;4;tanh;True;0.01;128;6.4;0.0876;0.0874;0.0875;0.2119;0.2126;0.2127
217;5;relu;False;1;8;33.7;0.0167;0.0151;0.0168;0.9072;0.9148;0.9065
218;5;relu;True;1;8;34.6;0.1579;0.1581;158;0.2103;0.2095;0.2098
219;5;$\sigma$;False;1;8;34.0;0.0099;0.0095;0.0099;0.9371;0.9398;0.9358
220;5;$\sigma$;True;1;8;34.9;0.0103;0.0098;0.0104;0.9363;0.9376;0.9335
221;5;tanh;False;1;8;34.3;0.0062;0.0068;0.0071;0.9605;955;0.9542
222;5;tanh;True;1;8;34.7;0.0061;0.0067;7;0.9611;957;954
223;5;relu;False;1;32;13.3;0.0062;0.0064;0.0068;0.9615;0.9585;0.9557
224;5;relu;True;1;32;13.2;0.1096;0.1091;0.1103;447;0.4486;443
225;5;$\sigma$;False;1;32;13.3;0.0241;22;0.0227;0.8629;0.8805;0.8713
226;5;$\sigma$;True;1;32;13.4;0.0243;0.0229;0.0236;0.8648;876;0.8694
227;5;tanh;False;1;32;13.2;0.0072;0.0072;0.0079;0.9546;0.9556;0.9493
228;5;tanh;True;1;32;13.5;0.0075;0.0074;0.0082;0.9531;0.9522;0.9447
229;5;relu;False;1;128;7.4;0.0111;0.0105;11;0.9308;0.9323;929
230;5;relu;True;1;128;7.4;0.0127;0.0117;0.0123;0.9181;0.9238;0.9197
231;5;$\sigma$;False;1;128;7.4;0.0807;0.0807;0.0807;0.3362;0.3357;0.3396
232;5;$\sigma$;True;1;128;7.5;0.0833;0.0833;0.0833;0.2676;0.2651;0.2708
233;5;tanh;False;1;128;7.4;14;0.0131;0.0136;0.9179;0.9209;921
234;5;tanh;True;1;128;7.5;0.0143;0.0133;0.0138;0.9135;0.9199;0.9188
235;5;relu;False;0.1;8;35.7;0.0092;9;0.0093;0.9425;0.9408;0.9392
236;5;relu;True;0.1;8;36.7;0.0096;0.0091;0.0096;0.9384;0.9409;0.9377
237;5;$\sigma$;False;0.1;8;35.8;0.0749;0.0751;0.0745;0.4263;0.4359;0.4302
238;5;$\sigma$;True;0.1;8;36.7;0.0678;0.0672;0.0675;0.5063;0.5131;0.5077
239;5;tanh;False;0.1;8;36.1;0.0111;0.0105;0.0109;0.9324;0.9342;0.9319
240;5;tanh;True;0.1;8;37.0;11;0.0103;0.0108;0.9321;0.9381;0.9353
241;5;relu;False;0.1;32;13.9;0.02;0.0185;0.0193;0.8826;894;0.8829
242;5;relu;True;0.1;32;14.0;0.0193;0.0176;18;0.8798;0.8915;887
243;5;$\sigma$;False;0.1;32;14.0;0.0883;0.0883;0.0882;0.2687;0.2692;0.2746
244;5;$\sigma$;True;0.1;32;14.2;0.0887;0.0887;0.0887;0.1594;0.1496;0.1648
245;5;tanh;False;0.1;32;14.0;0.0223;0.0202;21;0.8727;0.8888;0.8817
246;5;tanh;True;0.1;32;14.3;0.0273;0.0252;0.0262;841;0.8609;0.8524
247;5;relu;False;0.1;128;7.8;0.0568;0.0548;0.0562;0.5911;0.6101;0.5976
